favorite_category,chair_item,medium_item,small_item
Cleanliness,Waterproof Seat,Towel Rack,Cleaning Supplies
Colourful Stuff,Stylish Stool,Blue Meteor Lamp,Balloons
Construction,Industrial Chair,Construction Supplies,Toy Blocks
Containers,Folding Chair,Plain Chest,Cardboard Boxes
Cute Stuff,Cute Chair,Cute Lamp,Cute Dresser
Dirt,Straw Stool,Wheelbarrow,Grubby Papers
Electronics,Gaming Chair,Card Reader,Tablet
Exercise,Beach Parasol,Bike,Punching Bag
Fire,Campfire,Torch,Microwave Oven
Garbage,Industrial Chair,Small Garbage Can,Grubby Papers
Group Activities,Pikachu Sofa,Tea Set,Arcade Machine
Looks Like Food,Berry Chair,Berry Case,Refrigerator
Metal Stuff,Iron Chair,Metal Drum,Auspicious Armor
Nature,Straw Stool,Leafy Plant,Weather Vane
Nice Breezes,Resort Hammock,Ceiling Fan,Fan
Play Spaces,Spectator Chair,Gaming Light,Sandbox
Round Stuff,Pokeball Sofa,Mirror Ball,Model Planet
Shiny Stuff,Gaming Chair,Gaming Light,Tablet
Slender Stuff,Garden Chair,Town Streetlight,Standing Mic
Soft Stuff,Resort Stool,Castform Weather Charm,Eevee Doll
Spooky Stuff,Antique Chair,Eerie Candle,Boo-in-the-Box
Stone Stuff,Stone Bench,Mug,Excavation Tools
Strange Stuff,Naptime Bed,Polygonal Shelf,Crystal Ball
Watching Stuff,Spectator Chair,Frame,Large Mirror
Water,Inflatable Boat,Horsea Fountain,Humidifier
Wooden Stuff,Log Chair,Wooden Crate,Toy Blocks
Blocky Stuff,Wooden Stool,Wall Mirror,Plain Closet
Complicated Stuff,No item available,Pencil Holder,CD Rack
Fabric,Plain Stool,Plain Chest,Towel Rack
Gatherings,No item available,CD Rack,Toy Blocks
Glass Stuff,No item available,Washing Machine,Office Shelf
Hard Stuff,Stone Bench,Iron Stand,No item available
Healing,No item available,First Aid Kit,Humidifier
Letters And Words,No item available,Television,Whiteboard
Luxury,Chic Chair,Wall Mirror,Luxury Lamp
Noisy Stuff,No item available,Alarm Clock,No item available
Ocean Vibe,Resort Stool,Horsea Fountain,Resort Light
Pretty Flower,No item available,No item available,Small Vase
Rides,No item available,Handcar,No item available
Sharp Stuff,No item available,Vending Machine,No item available
Spinning Stuff,Fancy Chair,Pinwheels,Ceiling Fan
Symbols,No item available,No item available,Mug
Wobbly Stuff,Resort Hammock,Balloons,Leafy Plant
